DR,Offense,Date_Rept,Monthstamp,Yearstamp,Block
1100198,BURGLARY - RESIDENTIAL - GARAGE                    ,1/5/2011,1,2011,0 Blk REMINGTON                                                                       
1100252,BURGLARY - RESIDENTIAL - GARAGE                    ,1/6/2011,1,2011,0 Blk REMINGTON                                                                       
1100385,BURGLARY - RESIDENTIAL - GARAGE                    ,1/8/2011,1,2011,0 Blk DUET                                                                            
1101046,BURGLARY - RESIDENTIAL - GARAGE                    ,1/21/2011,1,2011,1000 Blk OAKGLEN                                                                         
1101088,BURGLARY - RESIDENTIAL - GARAGE                    ,1/22/2011,1,2011,700 Blk SAINT VINCENT                                                                   
1101360,BURGLARY - RESIDENTIAL - GARAGE                    ,1/22/2011,1,2011,700 Blk SAINT VINCENT                                                                   
1101657,BURGLARY - RESIDENTIAL - GARAGE                    ,2/2/2011,2,2011,300 Blk QUAIL RDG                                                                       
1101811,BURGLARY - RESIDENTIAL - GARAGE                    ,2/6/2011,2,2011,14800 Blk PINEHAVEN RD                                                                    
1102197,BURGLARY - RESIDENTIAL - GARAGE                    ,2/14/2011,2,2011,2100 Blk ANACAPA                                                                         
1102402,BURGLARY - RESIDENTIAL - GARAGE                    ,2/18/2011,2,2011,3900 Blk OLIVE ST                                                                        
1102597,BURGLARY - RESIDENTIAL - GARAGE                    ,2/23/2011,2,2011,100 Blk STONECLIFFE AISLE                                                               
1103099,BURGLARY - RESIDENTIAL - GARAGE                    ,3/4/2011,3,2011,0 Blk SEASONS                                                                         
1103048,BURGLARY - RESIDENTIAL - GARAGE                    ,3/4/2011,3,2011,0 Blk W YALE LOOP                                                                     
1103130,BURGLARY - RESIDENTIAL - GARAGE                    ,3/5/2011,3,2011,0 Blk FLAXWOOD                                                                        
1103445,BURGLARY - RESIDENTIAL - GARAGE                    ,3/11/2011,3,2011,1700 Blk WYCLIFFE                                                                        
1103538,BURGLARY - RESIDENTIAL - GARAGE                    ,3/13/2011,3,2011,1500 Blk WYCLIFFE                                                                        
1103704,BURGLARY - RESIDENTIAL - GARAGE                    ,3/16/2011,3,2011,700 Blk WYCLIFFE                                                                        
1103800,BURGLARY - RESIDENTIAL - GARAGE                    ,3/18/2011,3,2011,100 Blk FAIRLAKE                                                                        
