DR,Date_Rept,Monthstamp,Yearstamp,Block
1607426,5/12/2016,5,2016,100 Blk ESPLANADE
1607516,5/13/2016,5,2016,0 Blk VERMONT
1607548,5/14/2016,5,2016,0 Blk SACRED PATH
1607619,5/15/2016,5,2016,0 Blk JUNEBERRY
1611317,7/22/2016,7,2016,0 Blk SECLUSION
1611318,7/22/2016,7,2016,0 Blk SECLUSION
1611319,7/22/2016,7,2016,0 Blk SECLUSION
1614956,9/30/2016,9,2016,0 Blk PALATINE
1618572,12/7/2016,12,2016,0 Blk PALATINE
1618617,12/8/2016,12,2016,4200 Blk ARCHWAY
1706277,5/2/2017,5,2017,0 Blk PALATINE
1706278,5/2/2017,5,2017,0 Blk PALATINE
1706363,5/4/2017,5,2017,0 Blk SONATA
1706431,5/5/2017,5,2017,0 Blk ORCHARD
1715110,10/20/2017,10,2017,0 Blk BOISE
1715129,10/20/2017,10,2017,18800 Blk DOUGLAS
1718045,12/19/2017,12,2017,0 Blk SUNLIGHT
1718082,12/20/2017,12,2017,18000 Blk SKY PARK BLVD
1718078,12/20/2017,12,2017,0 Blk FANPALM
1718228,12/23/2017,12,2017,1100 Blk SCHOLARSHIP
1718162,12/22/2017,12,2017,200 Blk VENETO
1718198,12/22/2017,12,2017,3000 Blk LADRILLO AISLE
1718202,12/22/2017,12,2017,0 Blk SCARLET BLOOM
1802955,2/28/2018,2,2018,0 Blk ELIZABETH LN
1802958,2/28/2018,2,2018,0 Blk ELIZABETH LN
1806247,5/7/2018,5,2018,0 Blk CARTIER AISLE
1806344,5/9/2018,5,2018,3800 Blk PARKVIEW LN
1806373,5/10/2018,5,2018,0 Blk MEANDER
1806398,5/10/2018,5,2018,500 Blk OAKGLEN
1810124,7/24/2018,7,2018,0 Blk CANAL
1810122,7/24/2018,7,2018,0 Blk ARBORETUM
1812665,9/11/2018,9,2018,2500 Blk ALTON PKWY
1812729,9/12/2018,9,2018,100 Blk QUIET PLACE
1812746,9/12/2018,9,2018,2500 Blk ALTON PKWY
1815881,11/14/2018,11,2018,100 Blk CRESCENT MOON
1815927,11/15/2018,11,2018,300 Blk SANTA BARBARA
1901207,1/25/2019,1,2019,0 Blk PARK PLZ
1901247,1/26/2019,1,2019,100 Blk HEMISPHERE
1901248,1/26/2019,1,2019,100 Blk HEMISPHERE
1980171,3/31/2019,3,2019,0 Blk JUNEBERRY
1100325,1/7/2011,1,2011,100 Blk ROCKVIEW
1114735,10/17/2011,10,2011,0 Blk BOTANICAL
1202079,2/12/2012,2,2012,0 Blk ARBORETUM
1202131,2/13/2012,2,2012,200 Blk HAYES
1205565,4/26/2012,4,2012,0 Blk SHADE TREE
1205589,4/27/2012,4,2012,2700 Blk KELVIN AVE
1302130,2/20/2013,2,2013,0 Blk MARBLEHEAD
1302188,2/21/2013,2,2013,3700 Blk PARKVIEW LN
1305666,5/7/2013,5,2013,400 Blk SIMPLICITY
1402836,3/6/2014,3,2014,200 Blk TALL OAK
1406003,5/16/2014,5,2014,200 Blk GREAT LAWN
1409540,7/31/2014,7,2014,0 Blk LAKEFRONT
1409632,8/1/2014,8,2014,0 Blk MEADOW VALLEY
1409643,8/1/2014,8,2014,4600 Blk EL CAMINO REAL
1412871,10/11/2014,10,2014,0 Blk LILAC
1500237,1/6/2015,1,2015,0 Blk HONEY LOCUST
1504037,3/23/2015,3,2015,0 Blk KEEPSAKE
1504038,3/23/2015,3,2015,300 Blk MARINELLA AISLE
1504101,3/24/2015,3,2015,0 Blk SYCAMORE BEND
1511352,8/8/2015,8,2015,0 Blk SNOWBERRY
1511507,8/11/2015,8,2015,0 Blk ADELANTE
