DR,Offense,Date_Rept,Monthstamp,Yearstamp,Block
1100034     ,THEFT - FROM MOTOR VEHICLE                            ,1/1/2011,1,2011,CAPSTONE / RIVERSTONE                                                           
1100051     ,THEFT - FROM MOTOR VEHICLE                            ,1/2/2011,1,2011,14800 Blk GAINFORD CIR                                                                    
1100108     ,THEFT - FROM MOTOR VEHICLE                            ,1/4/2011,1,2011,100 Blk SAINT VINCENT                                                                   
1100212     ,THEFT - FROM MOTOR VEHICLE                            ,1/5/2011,1,2011,2800 Blk ALTON PKWY                                                                      
1100297     ,THEFT - FROM MOTOR VEHICLE                            ,1/7/2011,1,2011,0 Blk ENSUENO E                                                                       
1100313     ,THEFT - FROM MOTOR VEHICLE                            ,1/7/2011,1,2011,6700 Blk QUAIL HILL PKWY                                                                 
1100372     ,THEFT - FROM MOTOR VEHICLE                            ,1/8/2011,1,2011,100 Blk CORNELL                                                                         
1100419     ,THEFT - FROM MOTOR VEHICLE                            ,1/9/2011,1,2011,0 Blk BADGER PASS                                                                     
1100458     ,THEFT - FROM MOTOR VEHICLE                            ,1/10/2011,1,2011,6200 Blk IRVINE BLVD                                                                     
1100521     ,THEFT - FROM MOTOR VEHICLE                            ,1/11/2011,1,2011,0 Blk VASSAR AISLE                                                                    
1100773     ,THEFT - FROM MOTOR VEHICLE                            ,1/16/2011,1,2011,0 Blk BUTTERFIELD                                                                     
1100788     ,THEFT - FROM MOTOR VEHICLE                            ,1/17/2011,1,2011,0 Blk HICKORY                                                                         
1100835     ,THEFT - FROM MOTOR VEHICLE                            ,1/18/2011,1,2011,0 Blk HICKORY                                                                         
1100832     ,THEFT - FROM MOTOR VEHICLE                            ,1/18/2011,1,2011,0 Blk WILDWHEAT                                                                       
1100830     ,THEFT - FROM MOTOR VEHICLE                            ,1/18/2011,1,2011,4500 Blk PORTOLA PKWY                                                                    
1100918     ,THEFT - FROM MOTOR VEHICLE                            ,1/19/2011,1,2011,0 Blk CORDERO                                                                         
1100971     ,THEFT - FROM MOTOR VEHICLE                            ,1/20/2011,1,2011,0 Blk CORPORATE PARK W                                                                
1100954     ,THEFT - FROM MOTOR VEHICLE                            ,1/20/2011,1,2011,0 Blk MERYTON                                                                         
