DR,Date,Month,Year,Block,Type,Week_Num,Number,Street,Address,Lat,Lon,Type_Num
1100034,2011-01-01,1,2011,CAPSTONE / RIVERSTONE                                                           ,Vehicle,1,0,CAPSTONE / RIVERSTONE,"0 CAPSTONE / RIVERSTONE, Irvine, CA",33.700425200000005,-117.796927,0
1100051,2011-01-02,1,2011,14800 Blk GAINFORD CIR                                                                    ,Vehicle,1,14800,GAINFORD CIR,"14800 GAINFORD CIR, Irvine, CA",33.6949859,-117.783549,0
1100108,2011-01-04,1,2011,100 Blk SAINT VINCENT                                                                   ,Vehicle,1,100,SAINT VINCENT,"100 SAINT VINCENT, Irvine, CA",33.666169000000004,-117.78983600000001,0
1100198,2011-01-05,1,2011,0 Blk REMINGTON                                                                       ,Garage,1,0,REMINGTON,"0 REMINGTON, Irvine, CA",33.700298100000005,-117.76938759999999,2
1100212,2011-01-05,1,2011,2800 Blk ALTON PKWY                                                                      ,Vehicle,1,2800,ALTON PKWY,"2800 ALTON PKWY, Irvine, CA",33.687964,-117.8314715,0
1100252,2011-01-06,1,2011,0 Blk REMINGTON                                                                       ,Garage,1,0,REMINGTON,"0 REMINGTON, Irvine, CA",33.700298100000005,-117.76938759999999,2
1100313,2011-01-07,1,2011,6700 Blk QUAIL HILL PKWY                                                                 ,Vehicle,1,6700,QUAIL HILL PKWY,"6700 QUAIL HILL PKWY, Irvine, CA",33.6512705,-117.77434280000001,0
1100297,2011-01-07,1,2011,0 Blk ENSUENO E                                                                       ,Vehicle,1,0,ENSUENO E,"0 ENSUENO E, Irvine, CA",33.718000599999996,-117.76149270000002,0
1100325,2011-01-07,1,2011,100 Blk ROCKVIEW,Package,1,100,ROCKVIEW,"100 ROCKVIEW, Irvine, CA",33.6526619,-117.82010420000002,1
1100372,2011-01-08,1,2011,100 Blk CORNELL                                                                         ,Vehicle,1,100,CORNELL,"100 CORNELL, Irvine, CA",33.649393100000005,-117.8353978,0
1100385,2011-01-08,1,2011,0 Blk DUET                                                                            ,Garage,1,0,DUET,"0 DUET, Irvine, CA",33.6517534,-117.77388020000001,2
